unit,age,sex,severity,geo\time	2013 	2012 	2011 	2010 	2009 	2008 
NR,Y_LT18,F,GE_D4,FI	: 	0 	23 	21 	28 	39 
NR,Y_LT18,F,GE_D4,FR	: 	87 	155 	233 	182 	277 
NR,Y_LT18,F,GE_D4,HR	: 	0 	0 	0 	: 	: 
NR,Y_LT18,F,GE_D4,HU	: 	4 	3 	5 	4 	5 
NR,Y_LT18,F,GE_D4,IE	: 	6 	2 	9 	7 	0 
NR,Y_LT18,F,GE_D4,IT	: 	26 	29 	45 	50 	65 
NR,Y_LT18,F,GE_D4,LT	: 	1 	0 	0 	0 	2 
NR,Y_LT18,F,GE_D4,LU	: 	0 	0 	0 	5 	5 
NR,Y_LT18,F,GE_D4,LV	: 	1 	0 	1 	0 	1 
NR,Y_LT18,F,GE_D4,MT	6 	2 	4 	5 	6 	8 
NR,Y_LT18,F,GE_D4,NL	: 	1419 	1650 	235 	0 	563 
NR,Y_LT18,F,GE_D4,NO	: 	: 	0 	0 	0 	0 
NR,Y_LT18,F,GE_D4,PL	: 	0 	2 	4 	5 	10 
NR,Y_LT18,F,GE_D4,PT	: 	21 	52 	47 	92 	: 
NR,Y_LT18,F,GE_D4,RO	: 	0 	0 	0 	2 	3 
NR,Y_LT18,F,GE_D4,SE	12 	7 	15 	9 	18 	16 
NR,Y_LT18,F,GE_D4,SI	: 	1 	1 	3 	0 	0 
NR,Y_LT18,F,GE_D4,SK	: 	1 	6 	1 	2 	1 
NR,Y_LT18,F,GE_D4,UK	: 	279 	316 	354 	402 	709 
NR,Y_LT18,M,FATALITY,AT	: 	0 	0 	0 	1 	0 
NR,Y_LT18,M,FATALITY,BE	: 	0 	0 	0 	1 	0 
NR,Y_LT18,M,FATALITY,BG	: 	0 	0 	0 	0 	0 
NR,Y_LT18,M,FATALITY,CH	0 	0 	0 	0 	0 	0 
NR,Y_LT18,M,FATALITY,CY	0 	0 	0 	0 	0 	0 
NR,Y_LT18,M,FATALITY,CZ	: 	0 	0 	0 	0 	0 
NR,Y_LT18,M,FATALITY,DE	2 	1 	0 	0 	0 	1 
NR,Y_LT18,M,FATALITY,DK	: 	0 	0 	0 	0 	1 
NR,Y_LT18,M,FATALITY,EE	: 	0 	0 	0 	0 	0 
NR,Y_LT18,M,FATALITY,EL	: 	0 	0 	0 	0 	0 
NR,Y_LT18,M,FATALITY,ES	: 	0 	0 	0 	0 	2 
NR,Y_LT18,M,FATALITY,EU15	: 	4 u	2 	31 u	5 	11 
NR,Y_LT18,M,FATALITY,EU27	: 	4 u	4 	34 u	6 	11 
NR,Y_LT18,M,FATALITY,EU28	: 	4 u	4 	34 u	6 	: 
NR,Y_LT18,M,FATALITY,FI	: 	0 	0 	0 	0 	1 
NR,Y_LT18,M,FATALITY,FR	: 	0 	0 	1 	0 	0 
NR,Y_LT18,M,FATALITY,HR	: 	0 	0 	0 	: 	: 
NR,Y_LT18,M,FATALITY,HU	: 	0 	1 	0 	0 	0 
NR,Y_LT18,M,FATALITY,IE	: 	0 	0 	0 	0 	0 
NR,Y_LT18,M,FATALITY,IT	: 	0 	1 	0 	0 	2 
NR,Y_LT18,M,FATALITY,LT	: 	0 	1 	1 	0 	0 
NR,Y_LT18,M,FATALITY,LU	: 	0 	0 	0 	0 	0 
NR,Y_LT18,M,FATALITY,LV	: 	0 	0 	1 	0 	0 
NR,Y_LT18,M,FATALITY,MT	0 	0 	0 	0 	0 	0 
NR,Y_LT18,M,FATALITY,NL	: 	0 	0 	29 	2 	0 
NR,Y_LT18,M,FATALITY,NO	: 	: 	0 	0 	0 	0 
NR,Y_LT18,M,FATALITY,PL	: 	0 	0 	0 	0 	0 
NR,Y_LT18,M,FATALITY,PT	: 	2 	0 	0 	0 	: 
NR,Y_LT18,M,FATALITY,RO	: 	0 	0 	0 	1 	0 
NR,Y_LT18,M,FATALITY,SE	0 	0 	0 	0 	0 	0 
NR,Y_LT18,M,FATALITY,SI	: 	0 	0 	0 	0 	0 
NR,Y_LT18,M,FATALITY,SK	: 	0 	0 	1 	0 	0 
NR,Y_LT18,M,FATALITY,UK	: 	1 	1 	0 	1 	1 
NR,Y_LT18,M,GE_D4,AT	: 	209 	263 	250 	476 	571 
NR,Y_LT18,M,GE_D4,BE	: 	196 	255 	245 	273 	313 
NR,Y_LT18,M,GE_D4,BG	: 	2 	1 	1 	1 	3 
NR,Y_LT18,M,GE_D4,CH	102 	89 	134 	131 	156 	114 
NR,Y_LT18,M,GE_D4,CY	2 	1 	3 	5 	1 	8 
NR,Y_LT18,M,GE_D4,CZ	: 	49 	52 	23 	33 	207 
NR,Y_LT18,M,GE_D4,DE	3229 	3586 	3734 	4001 	3924 	4085 
NR,Y_LT18,M,GE_D4,DK	: 	146 	162 	183 	277 	298 
NR,Y_LT18,M,GE_D4,EE	: 	6 	6 	9 	0 	15 
NR,Y_LT18,M,GE_D4,EL	: 	3 	3 	0 	0 	9 
NR,Y_LT18,M,GE_D4,ES	: 	195 	387 	571 	1034 	3630 
NR,Y_LT18,M,GE_D4,EU15	: 	9258 	6742 	7761 	8699 	14010 
NR,Y_LT18,M,GE_D4,EU27	: 	9342 	6857 	7844 	8800 	14358 
NR,Y_LT18,M,GE_D4,EU28	: 	9352 	6857 	7844 	8800 	: 
NR,Y_LT18,M,GE_D4,FI	: 	0 	65 	55 	60 	115 
NR,Y_LT18,M,GE_D4,FR	: 	605 	841 	1549 	1102 	1760 
NR,Y_LT18,M,GE_D4,HR	: 	10 	0 	0 	: 	: 
NR,Y_LT18,M,GE_D4,HU	: 	4 	8 	4 	1 	5 
NR,Y_LT18,M,GE_D4,IE	: 	0 	3 	12 	19 	0 
NR,Y_LT18,M,GE_D4,IT	: 	129 	202 	265 	278 	421 
NR,Y_LT18,M,GE_D4,LT	: 	2 	2 	0 	0 	9 
NR,Y_LT18,M,GE_D4,LU	: 	1 	0 	3 	23 	24 
NR,Y_LT18,M,GE_D4,LV	: 	0 	2 	0 	2 	7 
NR,Y_LT18,M,GE_D4,MT	13 	15 	13 	11 	23 	35 
NR,Y_LT18,M,GE_D4,NL	: 	3445 	0 	0 	0 	1432 
NR,Y_LT18,M,GE_D4,NO	: 	: 	0 	0 	0 	0 
NR,Y_LT18,M,GE_D4,PL	: 	1 	20 	23 	35 	41 
NR,Y_LT18,M,GE_D4,PT	: 	129 	146 	269 	318 	: 
NR,Y_LT18,M,GE_D4,RO	: 	0 	1 	1 	3 	7 
NR,Y_LT18,M,GE_D4,SE	18 	24 	27 	14 	12 	32 
NR,Y_LT18,M,GE_D4,SI	: 	3 	2 	1 	0 	0 
NR,Y_LT18,M,GE_D4,SK	: 	1 	5 	5 	2 	10 
NR,Y_LT18,M,GE_D4,UK	: 	590 	655 	724 	904 	1319 
NR,Y_LT18,T,FATALITY,AT	: 	0 	0 	0 	1 	0 
NR,Y_LT18,T,FATALITY,BE	: 	0 	0 	0 	1 	0 
NR,Y_LT18,T,FATALITY,BG	: 	0 	0 	0 	0 	0 
NR,Y_LT18,T,FATALITY,CH	0 	0 	0 	0 	0 	0 
NR,Y_LT18,T,FATALITY,CY	0 	0 	0 	0 	0 	0 
NR,Y_LT18,T,FATALITY,CZ	: 	0 	0 	0 	0 	0 
NR,Y_LT18,T,FATALITY,DE	3 	1 	0 	0 	0 	2 
NR,Y_LT18,T,FATALITY,DK	: 	0 	0 	0 	0 	1 
NR,Y_LT18,T,FATALITY,EE	: 	0 	0 	0 	0 	0 
NR,Y_LT18,T,FATALITY,EL	: 	0 	0 	0 	0 	0 
NR,Y_LT18,T,FATALITY,ES	: 	0 	0 	0 	0 	2 
NR,Y_LT18,T,FATALITY,EU15	: 	4 u	2 	32 u	5 	13 
NR,Y_LT18,T,FATALITY,EU27	: 	4 u	4 	35 u	6 	13 
NR,Y_LT18,T,FATALITY,EU28	: 	4 u	4 	35 u	6 	: 
NR,Y_LT18,T,FATALITY,FI	: 	0 	0 	0 	0 	1 
NR,Y_LT18,T,FATALITY,FR	: 	0 	0 	1 	0 	0 
NR,Y_LT18,T,FATALITY,HR	: 	0 	0 	0 	: 	: 
NR,Y_LT18,T,FATALITY,HU	: 	0 	1 	0 	0 	0 
NR,Y_LT18,T,FATALITY,IE	: 	0 	0 	0 	0 	0 
NR,Y_LT18,T,FATALITY,IT	: 	0 	1 	0 	0 	2 
NR,Y_LT18,T,FATALITY,LT	: 	0 	1 	1 	0 	0 
NR,Y_LT18,T,FATALITY,LU	: 	0 	0 	0 	0 	0 
NR,Y_LT18,T,FATALITY,LV	: 	0 	0 	1 	0 	0 
NR,Y_LT18,T,FATALITY,MT	0 	0 	0 	0 	0 	0 
NR,Y_LT18,T,FATALITY,NL	: 	0 	0 	30 	2 	0 
NR,Y_LT18,T,FATALITY,NO	: 	: 	0 	0 	0 	0 
NR,Y_LT18,T,FATALITY,PL	: 	0 	0 	0 	0 	0 
NR,Y_LT18,T,FATALITY,PT	: 	2 	0 	0 	0 	: 
NR,Y_LT18,T,FATALITY,RO	: 	0 	0 	0 	1 	0 
NR,Y_LT18,T,FATALITY,SE	0 	0 	0 	0 	0 	1 
NR,Y_LT18,T,FATALITY,SI	: 	0 	0 	0 	0 	0 
NR,Y_LT18,T,FATALITY,SK	: 	0 	0 	1 	0 	0 
NR,Y_LT18,T,FATALITY,UK	: 	1 	1 	0 	1 	1 
NR,Y_LT18,T,GE_D4,AT	: 	284 	343 	339 	582 	685 
NR,Y_LT18,T,GE_D4,BE	: 	253 	316 	316 	335 	381 
NR,Y_LT18,T,GE_D4,BG	: 	2 	2 	2 	3 	4 
NR,Y_LT18,T,GE_D4,CH	130 	127 	201 	175 	205 	165 
NR,Y_LT18,T,GE_D4,CY	3 	4 	4 	6 	1 	10 
NR,Y_LT18,T,GE_D4,CZ	: 	74 	84 	42 	52 	266 
NR,Y_LT18,T,GE_D4,DE	4156 	4512 	4575 	4846 	4763 	5357 
NR,Y_LT18,T,GE_D4,DK	: 	308 	336 	345 	509 	536 
NR,Y_LT18,T,GE_D4,EE	: 	9 	6 	9 	0 	21 
NR,Y_LT18,T,GE_D4,EL	: 	3 	3 	0 	3 	9 
NR,Y_LT18,T,GE_D4,ES	: 	244 	466 	702 	1266 	4220 
NR,Y_LT18,T,GE_D4,EU15	: 	12372 	10218 	9958 	10958 	17967 
NR,Y_LT18,T,GE_D4,EU27	: 	12496 	10383 	10081 	11099 	18413 
NR,Y_LT18,T,GE_D4,EU28	: 	12506 	10383 	10081 	11096 	: 
NR,Y_LT18,T,GE_D4,FI	: 	0 	88 	76 	88 	154 
NR,Y_LT18,T,GE_D4,FR	: 	692 	996 	1781 	1284 	2037 
NR,Y_LT18,T,GE_D4,HR	: 	10 	0 	0 	: 	: 
NR,Y_LT18,T,GE_D4,HU	: 	7 	11 	9 	5 	10 
NR,Y_LT18,T,GE_D4,IE	: 	6 	4 	20 	26 	0 
NR,Y_LT18,T,GE_D4,IT	: 	155 	231 	310 	328 	486 
NR,Y_LT18,T,GE_D4,LT	: 	3 	2 	0 	0 	11 
NR,Y_LT18,T,GE_D4,LU	: 	1 	0 	3 	28 	29 
NR,Y_LT18,T,GE_D4,LV	: 	1 	2 	1 	2 	8 
NR,Y_LT18,T,GE_D4,MT	19 	17 	17 	16 	29 	43 
NR,Y_LT18,T,GE_D4,NL	: 	4864 	1650 	235 	0 	1995 
NR,Y_LT18,T,GE_D4,NO	: 	: 	0 	0 	0 	0 
NR,Y_LT18,T,GE_D4,PL	: 	1 	22 	27 	40 	51 
NR,Y_LT18,T,GE_D4,PT	: 	150 	198 	316 	410 	: 
NR,Y_LT18,T,GE_D4,RO	: 	0 	1 	1 	5 	10 
NR,Y_LT18,T,GE_D4,SE	30 	31 	42 	23 	30 	48 
NR,Y_LT18,T,GE_D4,SI	: 	4 	3 	4 	0 	0 
NR,Y_LT18,T,GE_D4,SK	: 	2 	11 	6 	4 	11 
NR,Y_LT18,T,GE_D4,UK	: 	869 	970 	1078 	1306 	2028 
NR,Y_LT18,UNK,FATALITY,AT	: 	0 	0 	0 	0 	0 
NR,Y_LT18,UNK,FATALITY,BE	: 	0 	0 	0 	0 	0 
NR,Y_LT18,UNK,FATALITY,BG	: 	0 	0 	0 	0 	0 
NR,Y_LT18,UNK,FATALITY,CH	0 	0 	0 	0 	0 	0 
NR,Y_LT18,UNK,FATALITY,CY	0 	0 	0 	0 	0 	0 
NR,Y_LT18,UNK,FATALITY,CZ	: 	0 	0 	0 	0 	0 
NR,Y_LT18,UNK,FATALITY,DE	0 	0 	0 	0 	0 	0 
NR,Y_LT18,UNK,FATALITY,DK	: 	0 	0 	0 	0 	0 
NR,Y_LT18,UNK,FATALITY,EE	: 	0 	0 	0 	0 	0 
NR,Y_LT18,UNK,FATALITY,EL	: 	0 	0 	0 	0 	0 
NR,Y_LT18,UNK,FATALITY,ES	: 	0 	0 	0 	0 	0 
NR,Y_LT18,UNK,FATALITY,EU15	: 	0 	0 	0 	0 	0 
NR,Y_LT18,UNK,FATALITY,EU27	: 	0 	0 	0 	0 	0 
NR,Y_LT18,UNK,FATALITY,EU28	: 	0 	0 	0 	0 	: 
NR,Y_LT18,UNK,FATALITY,FI	: 	0 	0 	0 	0 	0 
NR,Y_LT18,UNK,FATALITY,FR	: 	0 	0 	0 	0 	0 
NR,Y_LT18,UNK,FATALITY,HR	: 	0 	0 	0 	: 	: 
NR,Y_LT18,UNK,FATALITY,HU	: 	0 	0 	0 	0 	0 
NR,Y_LT18,UNK,FATALITY,IE	: 	0 	0 	0 	0 	0 
NR,Y_LT18,UNK,FATALITY,IT	: 	0 	0 	0 	0 	0 
NR,Y_LT18,UNK,FATALITY,LT	: 	0 	0 	0 	0 	0 
NR,Y_LT18,UNK,FATALITY,LU	: 	0 	0 	0 	0 	0 
NR,Y_LT18,UNK,FATALITY,LV	: 	0 	0 	0 	0 	0 
NR,Y_LT18,UNK,FATALITY,MT	0 	0 	0 	0 	0 	0 
NR,Y_LT18,UNK,FATALITY,NL	: 	0 	0 	0 	0 	0 
NR,Y_LT18,UNK,FATALITY,NO	: 	: 	0 	0 	0 	0 
NR,Y_LT18,UNK,FATALITY,PL	: 	0 	0 	0 	0 	0 
NR,Y_LT18,UNK,FATALITY,PT	: 	0 	0 	0 	0 	: 
NR,Y_LT18,UNK,FATALITY,RO	: 	0 	0 	0 	0 	0 
NR,Y_LT18,UNK,FATALITY,SE	0 	0 	0 	0 	0 	0 
NR,Y_LT18,UNK,FATALITY,SI	: 	0 	0 	0 	0 	0 
NR,Y_LT18,UNK,FATALITY,SK	: 	0 	0 	0 	0 	0 
NR,Y_LT18,UNK,FATALITY,UK	: 	0 	0 	0 	0 	0 
NR,Y_LT18,UNK,GE_D4,AT	: 	0 	0 	0 	0 	0 
NR,Y_LT18,UNK,GE_D4,BE	: 	0 	0 	0 	1 	0 
NR,Y_LT18,UNK,GE_D4,BG	: 	0 	0 	0 	0 	0 
NR,Y_LT18,UNK,GE_D4,CH	0 	0 	0 	0 	0 	0 
NR,Y_LT18,UNK,GE_D4,CY	0 	0 	0 	0 	0 	0 
NR,Y_LT18,UNK,GE_D4,CZ	: 	0 	0 	0 	0 	0 
NR,Y_LT18,UNK,GE_D4,DE	0 	0 	0 	0 	0 	0 
NR,Y_LT18,UNK,GE_D4,DK	: 	0 	0 	0 	0 	0 
NR,Y_LT18,UNK,GE_D4,EE	: 	0 	0 	0 	0 	0 
NR,Y_LT18,UNK,GE_D4,EL	: 	0 	0 	0 	0 	0 
NR,Y_LT18,UNK,GE_D4,ES	: 	0 	0 	0 	0 	0 
NR,Y_LT18,UNK,GE_D4,EU15	: 	0 u	0 e	0 u	1 u	0 u
NR,Y_LT18,UNK,GE_D4,EU27	: 	0 u	0 e	0 u	1 u	0 u
NR,Y_LT18,UNK,GE_D4,EU28	: 	0 u	0 e	0 u	1 u	: 
NR,Y_LT18,UNK,GE_D4,FI	: 	0 	0 	0 	0 	0 
NR,Y_LT18,UNK,GE_D4,FR	: 	0 	0 	0 	0 	0 
NR,Y_LT18,UNK,GE_D4,HR	: 	0 	0 	0 	: 	: 
NR,Y_LT18,UNK,GE_D4,HU	: 	0 	0 	0 	0 	0 
NR,Y_LT18,UNK,GE_D4,IE	: 	0 	0 	0 	0 	0 
NR,Y_LT18,UNK,GE_D4,IT	: 	0 	0 	0 	0 	0 
NR,Y_LT18,UNK,GE_D4,LT	: 	0 	0 	0 	0 	0 
NR,Y_LT18,UNK,GE_D4,LU	: 	0 	0 	0 	0 	0 
NR,Y_LT18,UNK,GE_D4,LV	: 	0 	0 	0 	0 	0 
NR,Y_LT18,UNK,GE_D4,MT	0 	0 	0 	0 	0 	0 
NR,Y_LT18,UNK,GE_D4,NL	: 	0 	0 	0 	0 	0 
NR,Y_LT18,UNK,GE_D4,NO	: 	: 	0 	0 	0 	0 
NR,Y_LT18,UNK,GE_D4,PL	: 	0 	0 	0 	0 	0 
NR,Y_LT18,UNK,GE_D4,PT	: 	0 	0 	0 	0 	: 
NR,Y_LT18,UNK,GE_D4,RO	: 	0 	0 	0 	0 	0 
NR,Y_LT18,UNK,GE_D4,SE	0 	0 	0 	0 	0 	0 
NR,Y_LT18,UNK,GE_D4,SI	: 	0 	0 	0 	0 	0 
NR,Y_LT18,UNK,GE_D4,SK	: 	0 	0 	0 	0 	0 
NR,Y_LT18,UNK,GE_D4,UK	: 	0 	0 	0 	0 	0 
PC,TOTAL,F,FATALITY,AT	: 	0 	100 	100 	100 	100 
PC,TOTAL,F,FATALITY,BE	: 	0 	0 	100 	100 	100 
PC,TOTAL,F,FATALITY,BG	: 	100 	100 	100 	100 	100 
PC,TOTAL,F,FATALITY,CH	0 	100 	100 	100 	0 	100 
PC,TOTAL,F,FATALITY,CY	0 	0 	0 	0 	0 	0 
PC,TOTAL,F,FATALITY,CZ	: 	0 	100 	100 	100 	100 
PC,TOTAL,F,FATALITY,DE	100 	100 	100 	100 	100 	100 
PC,TOTAL,F,FATALITY,DK	: 	0 	0 	100 	0 	0 
PC,TOTAL,F,FATALITY,EE	: 	0 	0 	100 	0 	100 
PC,TOTAL,F,FATALITY,EL	: 	0 	0 	100 	100 	100 
PC,TOTAL,F,FATALITY,ES	: 	100 	100 	100 	100 	100 
PC,TOTAL,F,FATALITY,EU15	: 	100 	100 	100 	100 	100 
PC,TOTAL,F,FATALITY,EU27	: 	100 	100 	100 	100 	100 
PC,TOTAL,F,FATALITY,EU28	: 	100 	100 	100 	100 	: 
PC,TOTAL,F,FATALITY,FI	: 	0 	0 	100 	100 	100 
PC,TOTAL,F,FATALITY,FR	: 	100 	100 	100 	100 	100 
PC,TOTAL,F,FATALITY,HR	: 	0 	100 	0 	: 	: 
PC,TOTAL,F,FATALITY,HU	: 	100 	100 	100 	100 	100 
PC,TOTAL,F,FATALITY,IE	: 	0 	0 	0 	100 	0 
PC,TOTAL,F,FATALITY,IT	: 	100 	100 	100 	100 	100 
PC,TOTAL,F,FATALITY,LT	: 	100 	100 	100 	100 	100 
PC,TOTAL,F,FATALITY,LU	: 	0 	0 	0 	0 	0 
PC,TOTAL,F,FATALITY,LV	: 	100 	100 	100 	100 	100 
PC,TOTAL,F,FATALITY,MT	0 	0 	0 	0 	0 	0 
PC,TOTAL,F,FATALITY,NL	: 	0 	100 	100 	0 	100 
PC,TOTAL,F,FATALITY,NO	: 	: 	0 	0 	0 	0 
PC,TOTAL,F,FATALITY,PL	: 	100 	100 	100 	100 	100 
PC,TOTAL,F,FATALITY,PT	: 	100 	100 	100 	100 	: 
PC,TOTAL,F,FATALITY,RO	: 	100 	100 	100 	100 	100 
PC,TOTAL,F,FATALITY,SE	0 	100 	100 	100 	100 	100 
PC,TOTAL,F,FATALITY,SI	: 	0 	0 	0 	0 	0 
PC,TOTAL,F,FATALITY,SK	: 	0 	100 	100 	100 	0 
PC,TOTAL,F,FATALITY,UK	: 	100 	100 	0 	100 	0 
PC,TOTAL,F,GE_D4,AT	: 	100 	100 	100 	100 	100 
PC,TOTAL,F,GE_D4,BE	: 	100 	100 	100 	100 	100 
PC,TOTAL,F,GE_D4,BG	: 	100 	100 	100 	100 	100 
PC,TOTAL,F,GE_D4,CH	100 	100 	100 	100 	100 	100 
PC,TOTAL,F,GE_D4,CY	100 	100 	100 	100 	100 	100 
PC,TOTAL,F,GE_D4,CZ	: 	100 	100 	100 	100 	100 
PC,TOTAL,F,GE_D4,DE	100 	100 	100 	100 	100 	100 
PC,TOTAL,F,GE_D4,DK	: 	100 	100 	100 	100 	100 
PC,TOTAL,F,GE_D4,EE	: 	100 	100 	100 	100 	100 
PC,TOTAL,F,GE_D4,EL	: 	100 	100 	100 	100 	100 
PC,TOTAL,F,GE_D4,ES	: 	100 	100 	100 	100 	100 
PC,TOTAL,F,GE_D4,EU15	: 	100 e	100 	100 	100 	100 
PC,TOTAL,F,GE_D4,EU27	: 	100 e	100 	100 	100 	100 
PC,TOTAL,F,GE_D4,EU28	: 	100 e	100 	100 	100 	: 
PC,TOTAL,F,GE_D4,FI	: 	100 	100 	100 	100 	100 
PC,TOTAL,F,GE_D4,FR	: 	100 	100 	100 	100 	100 
PC,TOTAL,F,GE_D4,HR	: 	100 	100 	100 	: 	: 
PC,TOTAL,F,GE_D4,HU	: 	100 	100 	100 	100 	100 
PC,TOTAL,F,GE_D4,IE	: 	100 	100 	100 	100 	100 
PC,TOTAL,F,GE_D4,IT	: 	100 	100 	100 	100 	100 
PC,TOTAL,F,GE_D4,LT	: 	100 	100 	100 	100 	100 
PC,TOTAL,F,GE_D4,LU	: 	100 	100 	100 	100 	100 
PC,TOTAL,F,GE_D4,LV	: 	100 	100 	100 	100 	100 
PC,TOTAL,F,GE_D4,MT	100 	100 	100 	100 	100 	100 
PC,TOTAL,F,GE_D4,NL	: 	100 	100 	100 	100 	100 
PC,TOTAL,F,GE_D4,NO	: 	: 	0 	0 	0 	0 
PC,TOTAL,F,GE_D4,PL	: 	100 	100 	100 	100 	100 
PC,TOTAL,F,GE_D4,PT	: 	100 	100 	100 	100 	21.25 
PC,TOTAL,F,GE_D4,RO	: 	100 	100 	100 	100 	100 
PC,TOTAL,F,GE_D4,SE	100 	100 	100 	100 	100 	100 
PC,TOTAL,F,GE_D4,SI	: 	100 	100 	100 	100 	100 
PC,TOTAL,F,GE_D4,SK	: 	100 	100 	100 	100 	100 
PC,TOTAL,F,GE_D4,UK	: 	100 	100 	100 	100 	100 
PC,TOTAL,M,FATALITY,AT	: 	100 	100 	100 	100 	100 
PC,TOTAL,M,FATALITY,BE	: 	100 	100 	100 	100 	100 
PC,TOTAL,M,FATALITY,BG	: 	100 	100 	100 	100 	100 
PC,TOTAL,M,FATALITY,CH	100 	100 	100 	100 	100 	100 
PC,TOTAL,M,FATALITY,CY	100 	100 	100 	100 	100 	100 
PC,TOTAL,M,FATALITY,CZ	: 	100 	100 	100 	100 	100 
PC,TOTAL,M,FATALITY,DE	100 	100 	100 	100 	100 	100 
PC,TOTAL,M,FATALITY,DK	: 	100 	100 	100 	100 	100 
PC,TOTAL,M,FATALITY,EE	: 	100 	100 	100 	100 	100 
PC,TOTAL,M,FATALITY,EL	: 	100 	100 	100 	100 	100 
PC,TOTAL,M,FATALITY,ES	: 	100 	100 	100 	100 	100 
PC,TOTAL,M,FATALITY,EU15	: 	100 	100 	100 	100 	100 
PC,TOTAL,M,FATALITY,EU27	: 	100 	100 	100 	100 	100 
PC,TOTAL,M,FATALITY,EU28	: 	100 	100 	100 	100 	: 
PC,TOTAL,M,FATALITY,FI	: 	100 	100 	100 	100 	100 
PC,TOTAL,M,FATALITY,FR	: 	100 	100 	100 	100 	100 
PC,TOTAL,M,FATALITY,HR	: 	100 	100 	100 	: 	: 
PC,TOTAL,M,FATALITY,HU	: 	100 	100 	100 	100 	100 
PC,TOTAL,M,FATALITY,IE	: 	100 	100 	100 	100 	100 
PC,TOTAL,M,FATALITY,IT	: 	100 	100 	100 	100 	100 
PC,TOTAL,M,FATALITY,LT	: 	100 	100 	100 	100 	100 
PC,TOTAL,M,FATALITY,LU	: 	100 	100 	100 	100 	100 
PC,TOTAL,M,FATALITY,LV	: 	100 	100 	100 	100 	100 
PC,TOTAL,M,FATALITY,MT	100 	100 	0 	100 	100 	100 
PC,TOTAL,M,FATALITY,NL	: 	100 	100 	100 	100 	100 
PC,TOTAL,M,FATALITY,NO	: 	: 	0 	0 	0 	0 
PC,TOTAL,M,FATALITY,PL	: 	100 	100 	100 	100 	100 
PC,TOTAL,M,FATALITY,PT	: 	100 	100 	100 	100 	: 
PC,TOTAL,M,FATALITY,RO	: 	100 	100 	100 	100 	100 
PC,TOTAL,M,FATALITY,SE	100 	100 	100 	100 	100 	100 
PC,TOTAL,M,FATALITY,SI	: 	100 	100 	100 	100 	100 
PC,TOTAL,M,FATALITY,SK	: 	100 	100 	100 	100 	100 
PC,TOTAL,M,FATALITY,UK	: 	100 	100 	100 	100 	100 
PC,TOTAL,M,GE_D4,AT	: 	100 	100 	100 	100 	100 
PC,TOTAL,M,GE_D4,BE	: 	100 	100 	100 	100 	100 
PC,TOTAL,M,GE_D4,BG	: 	100 	100 	100 	100 	100 
PC,TOTAL,M,GE_D4,CH	100 	100 	100 	100 	100 	100 
PC,TOTAL,M,GE_D4,CY	100 	100 	100 	100 	100 	100 
PC,TOTAL,M,GE_D4,CZ	: 	100 	100 	100 	100 	100 
PC,TOTAL,M,GE_D4,DE	100 	100 	100 	100 	100 	100 
PC,TOTAL,M,GE_D4,DK	: 	100 	100 	100 	100 	100 
PC,TOTAL,M,GE_D4,EE	: 	100 	100 	100 	100 	100 
PC,TOTAL,M,GE_D4,EL	: 	100 	100 	100 	100 	100 
PC,TOTAL,M,GE_D4,ES	: 	100 	100 	100 	100 	100 
PC,TOTAL,M,GE_D4,EU15	: 	100 e	100 	100 	100 	100 
PC,TOTAL,M,GE_D4,EU27	: 	100 e	100 	100 	100 	100 
PC,TOTAL,M,GE_D4,EU28	: 	100 e	100 	100 	100 	: 
PC,TOTAL,M,GE_D4,FI	: 	100 	100 	100 	100 	100 
PC,TOTAL,M,GE_D4,FR	: 	100 	100 	100 	100 	100 
PC,TOTAL,M,GE_D4,HR	: 	100 	100 	100 	: 	: 
PC,TOTAL,M,GE_D4,HU	: 	100 	100 	100 	100 	100 
PC,TOTAL,M,GE_D4,IE	: 	100 	100 	100 	100 	100 
PC,TOTAL,M,GE_D4,IT	: 	100 	100 	100 	100 	100 
PC,TOTAL,M,GE_D4,LT	: 	100 	100 	100 	100 	100 
PC,TOTAL,M,GE_D4,LU	: 	100 	100 	100 	100 	100 
PC,TOTAL,M,GE_D4,LV	: 	100 	100 	100 	100 	100 
PC,TOTAL,M,GE_D4,MT	100 	100 	100 	100 	100 	100 
PC,TOTAL,M,GE_D4,NL	: 	100 	100 	100 	100 	100 
PC,TOTAL,M,GE_D4,NO	: 	: 	0 	0 	0 	0 
PC,TOTAL,M,GE_D4,PL	: 	100 	100 	100 	100 	100 
PC,TOTAL,M,GE_D4,PT	: 	100 	100 	100 	100 	78.75 
PC,TOTAL,M,GE_D4,RO	: 	100 	100 	100 	100 	100 
PC,TOTAL,M,GE_D4,SE	100 	100 	100 	100 	100 	100 
PC,TOTAL,M,GE_D4,SI	: 	100 	100 	100 	100 	100 
PC,TOTAL,M,GE_D4,SK	: 	100 	100 	100 	100 	100 
PC,TOTAL,M,GE_D4,UK	: 	100 	100 	100 	100 	100 
PC,TOTAL,T,FATALITY,AT	: 	100 	100 	100 	100 	100 
PC,TOTAL,T,FATALITY,BE	: 	100 	100 	100 	100 	100 
PC,TOTAL,T,FATALITY,BG	: 	100 	100 	100 	100 	100 
PC,TOTAL,T,FATALITY,CH	100 	100 	100 	100 	100 	100 
PC,TOTAL,T,FATALITY,CY	100 	100 	100 	100 	100 	100 
