unit,age,sex,severity,geo\time	2013 	2012 	2011 	2010 	2009 	2008 
NR,TOTAL,M,FATALITY,EU28	: 	1955 	2116 	2644 	2681 	: 
NR,TOTAL,M,FATALITY,FI	: 	2 	12 	18 	17 	15 
NR,TOTAL,M,FATALITY,FR	: 	328 	384 	340 	269 	63 
NR,TOTAL,M,FATALITY,HR	: 	34 	14 	24 	: 	: 
NR,TOTAL,M,FATALITY,HU	: 	45 	57 	52 	47 	65 
NR,TOTAL,M,FATALITY,IE	: 	18 	16 	13 	20 	23 
NR,TOTAL,M,FATALITY,IT	: 	233 	255 	242 	269 	296 
NR,TOTAL,M,FATALITY,LT	: 	32 	30 	32 	26 	46 
NR,TOTAL,M,FATALITY,LU	: 	6 	4 	9 	5 	4 
NR,TOTAL,M,FATALITY,LV	: 	25 	23 	12 	19 	22 
NR,TOTAL,M,FATALITY,MT	1 	2 	0 	1 	1 	2 
NR,TOTAL,M,FATALITY,NL	: 	26 	28 	29 	39 	47 
NR,TOTAL,M,FATALITY,NO	: 	: 	0 	0 	0 	0 
NR,TOTAL,M,FATALITY,PL	: 	148 	173 	271 	268 	339 
NR,TOTAL,M,FATALITY,PT	: 	88 	103 	103 	104 	: 
NR,TOTAL,M,FATALITY,RO	: 	151 	156 	187 	198 	299 
NR,TOTAL,M,FATALITY,SE	23 	20 	27 	34 	24 	27 
NR,TOTAL,M,FATALITY,SI	: 	16 	6 	14 	19 	17 
NR,TOTAL,M,FATALITY,SK	: 	27 	13 	7 	11 	11 
NR,TOTAL,M,FATALITY,UK	: 	83 	93 	97 	77 	83 
NR,TOTAL,M,GE_D4,AT	: 	35033 	35758 	35954 	36846 	44458 
NR,TOTAL,M,GE_D4,BE	: 	34121 	38372 	38590 	38882 	46614 
NR,TOTAL,M,GE_D4,BG	: 	1148 	1155 	1145 	1307 	1604 
NR,TOTAL,M,GE_D4,CH	49996 	49358 	49470 	46476 	44310 	43956 
NR,TOTAL,M,GE_D4,CY	846 	1033 	1258 	1382 	1430 	1617 
NR,TOTAL,M,GE_D4,CZ	: 	23909 	24707 	37620 	39002 	61857 
NR,TOTAL,M,GE_D4,DE	470808 	472084 	501968 	495302 	457049 	525207 
NR,TOTAL,M,GE_D4,DK	: 	19831 	19939 	21265 	21618 	28677 
NR,TOTAL,M,GE_D4,EE	: 	2706 	2765 	2597 	2321 	4534 
NR,TOTAL,M,GE_D4,EL	: 	7946 	8556 	10599 	13952 	17580 
NR,TOTAL,M,GE_D4,ES	: 	183052 	242608 	273181 	305329 	422873 
NR,TOTAL,M,GE_D4,EU15	: 	1388833 e	1657657 	1798396 	1706412 	1909914 
NR,TOTAL,M,GE_D4,EU27	: 	1489729 e	1761174 	1915859 	1823015 	2072390 
NR,TOTAL,M,GE_D4,EU28	: 	1495586 e	1768533 	1922246 	1809063 	: 
NR,TOTAL,M,GE_D4,FI	: 	2211 	22736 	22082 	21039 	28785 
NR,TOTAL,M,GE_D4,FR	: 	199693 	313111 	525947 	309651 	350000 
NR,TOTAL,M,GE_D4,HR	: 	5857 	7359 	6387 	: 	: 
NR,TOTAL,M,GE_D4,HU	: 	9713 	8386 	9563 	9276 	11879 
NR,TOTAL,M,GE_D4,IE	: 	5933 	7390 	6839 	4243 	8863 
NR,TOTAL,M,GE_D4,IT	: 	164347 	195808 	218615 	229838 	238679 
NR,TOTAL,M,GE_D4,LT	: 	1406 	1307 	1094 	970 	1644 
NR,TOTAL,M,GE_D4,LU	: 	4517 	4505 	4328 	4290 	5277 
NR,TOTAL,M,GE_D4,LV	: 	721 	633 	497 	479 	834 
NR,TOTAL,M,GE_D4,MT	1570 	1583 	1527 	1657 	1711 	1955 
NR,TOTAL,M,GE_D4,NL	: 	78965 	73192 	79169 	63694 	80083 
NR,TOTAL,M,GE_D4,NO	: 	: 	0 	0 	0 	0 
NR,TOTAL,M,GE_D4,PL	: 	44069 	46441 	45520 	43251 	55531 
NR,TOTAL,M,GE_D4,PT	: 	68984 	76242 	77679 	78862 	108734 
NR,TOTAL,M,GE_D4,RO	: 	2091 	2105 	2166 	2183 	2932 
NR,TOTAL,M,GE_D4,SE	15394 	15755 	15606 	15074 	13596 	16055 
NR,TOTAL,M,GE_D4,SI	: 	7759 	8286 	9045 	9540 	11225 
NR,TOTAL,M,GE_D4,SK	: 	4758 	4947 	5176 	5133 	6863 
NR,TOTAL,M,GE_D4,UK	: 	96362 	101865 	101910 	107522 	96764 
NR,TOTAL,T,FATALITY,AT	: 	51 	41 	50 	64 	19 
NR,TOTAL,T,FATALITY,BE	: 	30 	38 	55 	38 	56 
NR,TOTAL,T,FATALITY,BG	: 	58 	46 	42 	47 	75 
NR,TOTAL,T,FATALITY,CH	36 	38 	37 	54 	37 	59 
NR,TOTAL,T,FATALITY,CY	7 	4 	4 	16 	5 	9 
NR,TOTAL,T,FATALITY,CZ	: 	78 	90 	66 	46 	90 
NR,TOTAL,T,FATALITY,DE	238 	258 	258 	259 	213 	277 
NR,TOTAL,T,FATALITY,DK	: 	20 	24 	13 	11 	16 
NR,TOTAL,T,FATALITY,EE	: 	5 	11 	7 	10 	12 
